"STT","website_name","homepage_url","category","why_similar","confidence"
"1","Coingecko News","https://www.coingecko.com/en/news","hybrid_news_aggregator","Market-data platform with curated crypto news discovery.","high"
"2","Crypto Panic","https://cryptopanic.com/","news_aggregator","Pulls crypto headlines from many publishers into one feed.","high"
"3","Tree News","https://news.treeofalpha.com/","headline_feed","Real-time crypto feed curating social, media, and market sources.","high"
"4","PhoenixNews","https://phoenixnews.io/","news_aggregator","Feed-style crypto news stream with filtering and source curation.","high"
"5","Kucoin News","https://www.kucoin.com/news/","headline_feed","Exchange news hub serving curated crypto updates in feed form.","medium"
"6","Messari","https://messari.io/news/all","news_discovery","Research dashboard with aggregated news stream by asset and topic.","medium"
"7","Cryptonews","https://cryptonews.net/","news_aggregator","Aggregates crypto stories from multiple external publishers.","high"
"8","Coinspectator","https://coinspectator.com/","news_aggregator","Collects and lists crypto headlines from many sources.","high"
"9","CoinStats","https://coinstats.app/news/","hybrid_news_aggregator","Portfolio tool with integrated multi-source crypto news feed.","medium"
"10","Coincarp","https://www.coincarp.com/news/","hybrid_news_aggregator","Coin tracker with aggregated news pages across assets.","medium"
"11","Crypto Compare","https://www.cryptocompare.com/news/list/latest/","hybrid_news_aggregator","Market-data product with latest crypto news feed.","medium"
"12","Coinlore","https://www.coinlore.com/crypto-news/","news_discovery","Crypto tracker exposing a news module for discovery.","medium"
"13","Drops Tab","https://dropstab.com/news","news_discovery","Token dashboard surfacing curated news beside market data.","medium"
"14","Block Chair","https://blockchair.com/news","news_discovery","Blockchain explorer with a crypto news discovery section.","medium"
"15","Phemex","https://phemex.com/news","headline_feed","Exchange-operated feed for crypto market and platform updates.","medium"
"16","CoinFi","https://www.coinfi.com/news","hybrid_news_aggregator","Signal platform combining aggregated news with market intelligence.","high"
"17","Poloniex","https://www.poloniex.com/feed/news/2","headline_feed","Exchange feed showing curated crypto updates chronologically.","medium"
"18","CoinMarketCap Top Stories","https://coinmarketcap.com/top-stories/","hybrid_news_aggregator","Curated crypto headline layer inside a major market-data site.","high"
"19","TradingView Crypto News","https://www.tradingview.com/news/crypto/all/","news_discovery","Aggregates provider news into a live crypto market dashboard.","high"
"20","NewsNow Crypto","https://www.newsnow.co.uk/h/Business%2B%26%2BFinance/Cryptocurrencies","news_aggregator","Pure headline aggregator linking out to many publishers.","high"
"21","OKX Feed","https://www.okx.com/en-us/feed","headline_feed","Discovery feed mixing market commentary and crypto updates.","medium"
"22","Binance Square","https://www.binance.com/en/square","headline_feed","Large crypto discovery feed combining many creators and channels.","medium"
"23","Bitget News","https://www.bitget.com/news","headline_feed","Exchange feed surfacing curated crypto market items.","medium"
"24","Gate News","https://www.gate.com/news","headline_feed","Chronological exchange feed for curated crypto headlines.","medium"
"25","MEXC News","https://www.mexc.com/news","headline_feed","Exchange-run feed covering crypto and platform updates.","medium"
"26","CoinGlass News","https://www.coinglass.com/news","news_discovery","Trading dashboard with embedded crypto news monitoring.","medium"
"27","Coinness","https://coinness.com/news/","headline_feed","Fast crypto headline feed aggregating market-moving updates.","high"
"28","CoinCodex Coin News Feeds","https://coincodex.com/crypto/bitcoin/news/","hybrid_news_aggregator","Asset pages aggregate crypto news from multiple publishers.","high"
"29","CoinCheckup News","https://coincheckup.com/news","hybrid_news_aggregator","Coin analytics product with aggregated news by asset.","medium"
"30","Coinlib News","https://coinlib.io/news/Crypto","hybrid_news_aggregator","Coin market tracker with integrated crypto news stream.","medium"
"31","CryptoControl","https://cryptocontrol.io/en/","news_aggregator","Explicitly positions itself as a crypto news aggregator and tracks news from mainstream, crypto, and social sources in one feed.","high"
"32","TodayOnChain","https://todayonchain.com/","headline_feed","Surfaces linked headlines from multiple external publishers such as CoinDesk, The Block, Cointelegraph, and Bitcoin Magazine.","high"
"33","Pineify Crypto News","https://pineify.app/crypto-news","news_aggregator","Aggregates coin-tagged headlines from many crypto publishers and lets users filter by publisher, symbol, and source site.","high"
"34","CryptoBeast","https://cryptobeast.ai/","hybrid_news_aggregator","Aggregates real-time crypto news from 19+ trusted sources and adds AI summaries and sentiment on top.","high"
"35","Sharpe News","https://www.sharpe.ai/news","hybrid_news_aggregator","Markets itself as a real-time crypto news aggregator with multiple premium sources, source comparison, and coin filters.","high"
"36","ChainGPT Web3 News","https://www.chaingpt.org/ai-web3-news","hybrid_news_aggregator","Aggregates stories from multiple trusted crypto outlets, cross-checks them, and presents neutral summaries as a news feed.","high"
"37","CoinPerps News Aggregator","https://www.coinperps.com/news-aggregator","news_aggregator","Shows linked headlines from multiple external publishers plus a separate aggregated X/news stream.","high"
"38","Crypto News Aggregator Thailand","https://cryptonews.in.th/","headline_feed","Displays external crypto headlines with original-source links and translated summaries in a feed format.","high"
"39","Crypto News Hub","https://cryptonewshub.cc/","news_discovery","Appears to surface linked stories from multiple outside publishers in one crypto-focused discovery layer.","medium"
"40","Crypto Pulse","https://www.criptos.com/","headline_feed","Lightweight crypto headline feed that presents latest aggregated news rather than running a full editorial newsroom.","medium"
"41","Coin Newsify","https://www.coinewsify.ai/","hybrid_news_aggregator","AI-powered crypto news aggregator focused on gathering, labeling, deduplicating, and summarizing stories from multiple sources.","medium"
"42","Crypto News App","https://spark.mwm.ai/us/apps/crypto-news-prices-alerts/1267753692","hybrid_news_aggregator","The product page says it pulls from 300+ sources into one crypto news feed with categories and alerts.","medium"
